591;;;;;
592;1629;;;;
593;1629;4289;4290;;
594;1629;4290;;;
595;1629;4290;7193;7208;
596;7193;7207;7208;;
597;7194;7207;;;
598;4273;4295;;;
599;4273;4275;4292;4295;
600;4275;4292;;;
601;4275;4291;4292;;
602;4291;7201;7202;;
603;4291;7201;7202;;
604;4291;4350;7248;;
605;4350;7247;7248;;
606;4350;4351;4356;7247;
607;4351;4356;;;
608;1658;4351;4353;4356;
609;4353;;;;
610;1658;4352;4353;;
611;1658;4352;;;
612;1658;1660;4340;4352;
613;1660;;;;
614;1660;;;;
615;;;;;
616;4341;;;;
617;1630;;;;
618;1630;;;;
619;1629;;;;
620;1629;;;;
621;1629;;;;
622;1629;;;;
623;1629;7208;7209;;
624;7208;7209;7210;;
625;7207;7210;;;
626;4295;;;;
627;4292;4295;;;
628;4292;;;;
629;4291;4292;;;
630;4291;;;;
631;4291;;;;
632;4291;7248;7249;;
633;7247;7249;7250;;
634;4356;7247;7250;;
635;4356;;;;
636;4353;4356;;;
637;4353;;;;
638;4352;4353;;;
639;4352;;;;
640;1660;4352;;;
641;1660;;;;
642;1660;;;;
643;1660;;;;
644;;;;;
645;1630;;;;
646;1630;;;;
647;;;;;
648;1629;;;;
649;1629;;;;
650;1629;;;;
651;1629;4296;7209;;
652;4296;7209;7210;;
653;4296;7210;;;
654;4297;;;;
655;4292;4293;4297;;
656;4292;4293;;;
657;4292;4293;;;
658;4291;4294;;;
659;4291;4294;;;
660;4357;7249;;;
661;4357;7249;7250;;
662;4356;4357;4358;7250;
663;4356;4358;;;
664;4353;4354;4358;;
665;4353;4354;;;
666;4352;4353;4354;4355;
667;4352;4355;;;
668;1660;4352;4355;;
669;1660;;;;
670;1660;;;;
671;1660;;;;
672;1660;;;;
673;1630;;;;
674;1630;;;;
675;;;;;
676;1629;;;;
677;1629;;;;
678;1629;;;;
679;1629;4296;;;
680;4296;4297;;;
681;4296;4297;;;
682;4297;;;;
683;4293;4297;;;
684;4293;;;;
685;4293;4294;;;
686;4294;;;;
687;4294;;;;
688;4357;;;;
689;4357;;;;
690;4357;4358;;;
691;4358;;;;
692;4354;4358;;;
693;4354;;;;
694;4354;4355;;;
695;4355;;;;
696;4355;;;;
697;1660;;;;
698;1660;;;;
699;1660;;;;
700;1660;;;;
701;1630;1631;;;
702;1630;1631;;;
703;;;;;
704;1629;1632;;;
705;1629;1632;;;
706;1632;;;;
707;;;;;
708;1633;4296;;;
709;1633;4296;;;
710;1633;4297;;;
711;1633;4293;4297;4299;
712;4293;4299;;;
713;4298;4299;;;
714;4294;4298;;;
715;4294;4298;;;
716;4294;4298;4357;4360;
717;4357;4360;;;
718;4357;4358;4359;;
